chromosome,start,end,name,strand,gene
1,13139158,13374083,ENSMUST00000068304.11,-,Ncoa2
1,13142474,13374083,ENSMUST00000006037.11,-,Ncoa2
1,13177461,13179714,ENSMUST00000195493.1,-,Gm38376
1,13234808,13236434,ENSMUST00000195811.1,-,Gm37409
1,13262197,13262279,ENSMUST00000183805.1,+,Gm27881
1,13289811,13290506,ENSMUST00000194484.1,-,Gm38223
1,13297035,13298907,ENSMUST00000194357.1,-,Gm37702
1,13334497,13334609,ENSMUST00000157157.1,-,Gm23169
1,13343562,13348204,ENSMUST00000195506.1,-,Gm38120
1,13354482,13356730,ENSMUST00000195718.1,-,Gm38380
1,13376069,13388413,ENSMUST00000185813.1,+,Gm29570
1,13564697,13589910,ENSMUST00000027068.9,-,Tram1
1,13623329,13660546,ENSMUST00000027071.6,-,Lactb2
1,13641482,13642748,ENSMUST00000194537.1,-,Gm38319
1,13668770,13701723,ENSMUST00000088542.3,+,Xkr9
1,13774333,13774464,ENSMUST00000104180.1,-,Gm26273
1,13846870,13849119,ENSMUST00000194709.1,-,Gm36947
1,13932377,13932685,ENSMUST00000158733.1,+,Gm25491
1,14109214,14112819,ENSMUST00000193148.1,-,Gm37400
1,14168953,14310200,ENSMUST00000027066.11,-,Eya1
1,14168957,14310235,ENSMUST00000168081.7,-,Eya1
1,14169665,14310119,ENSMUST00000080664.12,-,Eya1
1,14170642,14304570,ENSMUST00000190337.5,-,Eya1
1,14182577,14182677,ENSMUST00000179783.1,+,Gm22616
1,14255551,14255990,ENSMUST00000193605.1,-,Gm37444
1,14752936,14776931,ENSMUST00000187401.1,+,Gm9947
1,14753345,14755990,ENSMUST00000027062.6,-,Msc
1,14755453,14758373,ENSMUST00000067599.1,+,Gm9947
1,14788644,14792965,ENSMUST00000194866.1,+,Gm37412
1,14872647,14918862,ENSMUST00000041447.4,-,Trpa1
1,15019039,15019159,ENSMUST00000157534.1,-,Gm26345
1,15287253,15712548,ENSMUST00000175681.2,+,Kcnb2
1,15312451,15723750,ENSMUST00000170146.2,+,Kcnb2
1,15364301,15365834,ENSMUST00000193873.1,+,Gm38116
1,15556248,15558337,ENSMUST00000194564.1,+,Gm37138
1,15685934,15686046,ENSMUST00000158204.1,-,Gm25227
1,15757831,15757963,ENSMUST00000104189.1,+,Gm25168
1,15805645,15844052,ENSMUST00000188371.5,+,Terf1
1,15805663,15843470,ENSMUST00000027057.7,+,Terf1
1,15853330,15856499,ENSMUST00000194867.1,+,Gm37509
1,15853861,15892722,ENSMUST00000040695.4,-,Sbspon
1,15879529,15879832,ENSMUST00000158318.1,+,Gm23259
1,16065978,16081212,ENSMUST00000115367.6,-,4930444P10Rik
1,16065978,16093325,ENSMUST00000145070.6,-,4930444P10Rik
1,16065978,16093325,ENSMUST00000151004.1,-,4930444P10Rik
1,16101294,16104662,ENSMUST00000058437.12,-,Rpl7
1,16105773,16133734,ENSMUST00000027053.7,+,Rdh10
1,16208196,16210517,ENSMUST00000192560.1,-,Gm38249
1,16228505,16244062,ENSMUST00000186343.1,+,Gm28095
1,16228673,16519306,ENSMUST00000162751.6,-,Stau2
1,16228800,16519228,ENSMUST00000054668.11,-,Stau2
1,16228803,16519228,ENSMUST00000162627.6,-,Stau2
1,16228809,16519306,ENSMUST00000027052.11,-,Stau2
1,16228815,16520112,ENSMUST00000162435.6,-,Stau2
1,16253591,16258861,ENSMUST00000161626.1,+,Gm7568
1,16253591,16267921,ENSMUST00000160446.6,+,Gm7568
1,16343406,16519211,ENSMUST00000159558.6,-,Stau2
1,16343485,16519247,ENSMUST00000128957.7,-,Stau2
1,16343570,16520067,ENSMUST00000131257.7,-,Stau2
1,16344290,16519240,ENSMUST00000162007.6,-,Stau2
1,16345593,16519307,ENSMUST00000149320.7,-,Stau2
1,16459714,16519260,ENSMUST00000115359.8,-,Stau2
1,16460103,16520021,ENSMUST00000145092.6,-,Stau2
1,16460212,16520020,ENSMUST00000144138.3,-,Stau2
1,16569781,16619489,ENSMUST00000117146.6,-,Ube2w
1,16618559,16621539,ENSMUST00000195710.1,+,Gm38342
1,16641724,16656884,ENSMUST00000188641.5,-,Tceb1
1,16642766,16657042,ENSMUST00000115352.8,-,Tceb1
1,16643141,16657018,ENSMUST00000186948.5,-,Tceb1
1,16643168,16657038,ENSMUST00000187910.5,-,Tceb1
1,16643190,16656914,ENSMUST00000185771.5,-,Tceb1
1,16657551,16662278,ENSMUST00000181371.1,+,D030040B21Rik
1,16665206,16678195,ENSMUST00000177501.1,+,Tmem70
1,16665209,16678275,ENSMUST00000065373.5,+,Tmem70
1,16688432,16709611,ENSMUST00000026881.9,+,Ly96
1,16688507,16709537,ENSMUST00000190366.1,+,Ly96
1,16898184,17091631,ENSMUST00000186604.1,+,Gm28376
1,16930969,16931796,ENSMUST00000194790.1,+,4921511E07Rik
1,16994937,17097889,ENSMUST00000038382.4,-,Jph1
1,17124746,17128956,ENSMUST00000188872.1,+,Gm28783
1,17145361,17164271,ENSMUST00000026879.7,+,Gdap1
1,17168402,17173103,ENSMUST00000187817.1,+,Gm28784
1,17520000,17520111,ENSMUST00000158909.1,+,Gm25166
1,17601900,17630939,ENSMUST00000088476.3,+,Pi15
1,17615083,17641081,ENSMUST00000186267.1,-,Gm28154
1,17676026,17727284,ENSMUST00000155588.6,-,Gm16070
1,17692903,17727646,ENSMUST00000127328.1,-,Gm16070
1,17724983,17727255,ENSMUST00000149914.1,-,Gm16070
1,17727044,17765575,ENSMUST00000159958.6,+,Crispld1
1,17727087,17766344,ENSMUST00000095075.4,+,Crispld1
1,17741914,17805417,ENSMUST00000189853.1,-,Gm28153
1,18115190,18145902,ENSMUST00000026876.11,-,Crisp4
1,18115203,18137051,ENSMUST00000115340.6,-,Crisp4
1,18115599,18145902,ENSMUST00000115344.1,-,Crisp4
1,18236472,18237443,ENSMUST00000097818.1,-,Defb18
1,18250979,18265138,ENSMUST00000088463.1,-,Defb41
1,18260523,18265080,ENSMUST00000097817.3,-,Defb41
1,18307823,18313906,ENSMUST00000187966.1,+,Gm29006
1,18969761,18969833,ENSMUST00000158175.1,-,Gm24075
1,19063299,19104840,ENSMUST00000159108.2,-,Gm15825
1,19103021,19166346,ENSMUST00000037294.7,+,Tfap2d
1,19208913,19238576,ENSMUST00000027059.9,+,Tfap2b
1,19208959,19238083,ENSMUST00000187754.5,+,Tfap2b
1,19212053,19234624,ENSMUST00000064976.5,+,Tfap2b
1,19242724,19243769,ENSMUST00000189218.1,+,Gm28340
1,19513854,19513919,ENSMUST00000122719.1,-,Gm24633
1,19614268,19616767,ENSMUST00000193790.1,+,Gm38382
1,20057778,20618064,ENSMUST00000088448.10,-,Pkhd1
1,20062069,20065548,ENSMUST00000194347.1,-,Gm37315
1,20356451,20392300,ENSMUST00000161509.2,+,4930486I03Rik
1,20444810,20444912,ENSMUST00000093665.1,-,Gm24162
1,20679009,20679082,ENSMUST00000083625.1,+,Mir206
1,20679022,20684298,ENSMUST00000185494.1,+,Gm28653
1,20682768,20682887,ENSMUST00000083546.1,+,Mir133b
1,20730904,20734496,ENSMUST00000027061.4,+,Il17a
1,20777145,20784270,ENSMUST00000039046.8,-,Il17f
1,20802967,20820312,ENSMUST00000053266.10,-,Mcm3
1,20836660,20839689,ENSMUST00000185290.1,+,Gm28065
1,20842534,20842666,ENSMUST00000158233.1,-,Gm24723
1,20888649,20890473,ENSMUST00000181654.1,-,6720483E21Rik
1,20890605,20939650,ENSMUST00000189400.5,+,Paqr8
1,20915409,20915540,ENSMUST00000104126.1,-,Gm24171
1,20917839,20939055,ENSMUST00000068880.12,+,Paqr8
1,20917873,20935749,ENSMUST00000167119.6,+,Paqr8
1,20922258,20935756,ENSMUST00000187651.1,+,Paqr8
1,20951687,20990841,ENSMUST00000038447.5,+,Efhc1
1,20996298,21079229,ENSMUST00000037998.5,-,Tram2
1,21080113,21081748,ENSMUST00000186612.1,+,Gm28287
1,21218574,21230167,ENSMUST00000027065.10,+,Tmem14a
1,21218661,21230164,ENSMUST00000027064.7,+,Tmem14a
1,21234721,21236821,ENSMUST00000191648.1,+,Gm38224
1,21240588,21265661,ENSMUST00000027067.13,+,Gsta3
1,21240606,21265021,ENSMUST00000121676.6,+,Gsta3
1,21250358,21271593,ENSMUST00000185842.1,-,Gm28836
1,21349640,21352200,ENSMUST00000088407.3,+,Khdc1a
1,21368330,21370845,ENSMUST00000070223.5,+,Khdc1c
1,21383555,21386373,ENSMUST00000147615.1,+,Khdc1b
1,21398402,21961581,ENSMUST00000029667.11,-,Kcnq5
1,21398407,21961942,ENSMUST00000115300.6,-,Kcnq5
1,21402162,21961581,ENSMUST00000173058.6,-,Kcnq5
1,21402162,21961581,ENSMUST00000173404.1,-,Kcnq5
1,21454690,21457017,ENSMUST00000192487.1,-,Gm36949
1,21838947,21840514,ENSMUST00000194737.1,-,Gm38243
1,21959841,21962530,ENSMUST00000181002.1,+,Gm26580
1,22286250,22805724,ENSMUST00000081544.11,-,Rims1
1,22286250,22805724,ENSMUST00000097809.8,-,Rims1
1,22286250,22805724,ENSMUST00000097810.8,-,Rims1
1,22286250,22805724,ENSMUST00000097811.8,-,Rims1
1,22286250,22805724,ENSMUST00000115273.7,-,Rims1
1,22286914,22315805,ENSMUST00000164877.6,-,Rims1
1,23048294,23235673,ENSMUST00000191045.1,-,Gm29506
1,23100472,23102253,ENSMUST00000073179.5,-,4933415F23Rik
1,23245210,23245331,ENSMUST00000158928.1,+,Gm24176
1,23255684,23256407,ENSMUST00000193885.1,-,Gm6420
1,23272268,23272339,ENSMUST00000083471.3,+,Mir30a
1,23291536,23291935,ENSMUST00000182303.1,+,Gm27028
1,23291700,23291784,ENSMUST00000083633.1,+,Mir30c-2
1,23293728,23294075,ENSMUST00000190910.1,+,Gm29107
1,23366423,23383175,ENSMUST00000027343.5,-,Ogfrl1
1,23574586,23596664,ENSMUST00000191140.1,+,Gm28822
1,23761752,23815740,ENSMUST00000144602.1,+,B3gat2
1,23761925,23849158,ENSMUST00000063663.5,+,B3gat2
1,23762010,23815739,ENSMUST00000140583.1,+,B3gat2
1,23845624,23922317,ENSMUST00000027339.12,-,Smap1
1,23846295,23909689,ENSMUST00000129254.6,-,Smap1
1,23995938,24005656,ENSMUST00000027338.3,-,Sdhaf4
1,24005504,24005894,ENSMUST00000192339.1,+,Gm26524
1,24011244,24100194,ENSMUST00000187752.5,-,Fam135a
1,24011590,24100182,ENSMUST00000187369.5,-,Fam135a
1,24011680,24100333,ENSMUST00000027337.13,-,Fam135a
1,24100624,24103424,ENSMUST00000192408.1,+,Gm37580
1,24177609,24252684,ENSMUST00000054588.13,+,Col9a1
1,24195186,24252684,ENSMUST00000088349.2,+,Col9a1
1,24263993,24587472,ENSMUST00000115244.7,-,Col19a1
1,24279769,24587411,ENSMUST00000051344.5,-,Col19a1
1,24548840,24548977,ENSMUST00000104275.1,-,Gm26418
1,24678629,24765448,ENSMUST00000191471.5,+,Lmbrd1
1,24678659,24707051,ENSMUST00000186096.5,+,Lmbrd1
1,24678925,24766301,ENSMUST00000095062.8,+,Lmbrd1
1,24963208,24964976,ENSMUST00000186563.1,-,Gm28237
1,24963995,24965158,ENSMUST00000189477.1,-,Gm28237
1,25026580,25027232,ENSMUST00000185379.1,-,Gm29414
1,25067475,25228826,ENSMUST00000126626.6,-,Adgrb3
1,25067549,25829511,ENSMUST00000135518.6,-,Adgrb3
1,25067549,25829707,ENSMUST00000151309.6,-,Adgrb3
1,25067677,25826760,ENSMUST00000041838.6,-,Adgrb3
1,25276403,25277954,ENSMUST00000193138.1,-,Gm20172
1,25279444,25279551,ENSMUST00000178643.1,-,Gm22260
1,25284217,25285248,ENSMUST00000192443.1,-,Gm37543
1,25296511,25299886,ENSMUST00000192367.1,-,Gm37331
1,25314275,25317708,ENSMUST00000193392.1,-,Gm37211
1,25325865,25328398,ENSMUST00000193079.1,-,Gm37862
1,25345977,25349082,ENSMUST00000195128.1,-,Gm38286
1,25362563,25365820,ENSMUST00000192216.1,-,Gm37880
1,25451070,25451174,ENSMUST00000122791.1,+,Gm25294
1,25608249,25611184,ENSMUST00000195543.1,-,Gm37011
1,25620237,25623180,ENSMUST00000194535.1,-,Gm37051
1,25672244,25676239,ENSMUST00000193573.1,-,Gm38260
1,25686061,25691501,ENSMUST00000194644.1,-,Gm37628
1,25722037,25724778,ENSMUST00000192614.1,-,8030445P17Rik
1,25735388,25738969,ENSMUST00000191772.1,-,Gm38198
1,25755342,25759033,ENSMUST00000195723.1,-,Gm37077
1,25775756,25780306,ENSMUST00000192448.1,-,Gm37895
1,25797280,25800905,ENSMUST00000194923.1,-,Gm36952
1,25804096,25807406,ENSMUST00000195187.1,-,Gm37602
1,25808955,25809972,ENSMUST00000193912.1,-,2900022M07Rik
1,25824389,25824719,ENSMUST00000195754.1,-,2900002M20Rik
1,25830656,25831878,ENSMUST00000194343.1,+,Gm9884
1,26566832,26566938,ENSMUST00000157486.1,+,Gm24064
1,26681813,26687460,ENSMUST00000097801.3,-,4931408C20Rik
1,26959102,26959221,ENSMUST00000179494.1,-,n-R5s209
1,27884045,27902396,ENSMUST00000185409.1,+,Gm5524
1,28569917,28571431,ENSMUST00000193585.1,+,Gm38089
1,28776116,28780252,ENSMUST00000059937.4,-,Gm597
1,29280963,29281075,ENSMUST00000082499.1,-,Gm25586
1,29301479,29301579,ENSMUST00000116975.1,+,Gm22679
1,29361274,29361370,ENSMUST00000116741.1,-,Gm23785
1,29421487,29421612,ENSMUST00000183870.1,+,Mir6342
1,29985933,29986043,ENSMUST00000178702.1,+,Gm23771
1,30333290,30333397,ENSMUST00000184585.1,-,Gm27430
1,30718559,30719962,ENSMUST00000065469.2,-,Gm9898
1,30802338,30873581,ENSMUST00000186733.5,-,Phf3
1,30802341,30863256,ENSMUST00000088310.8,-,Phf3
1,30833547,30836431,ENSMUST00000195437.1,-,Gm37522
1,30865503,30868538,ENSMUST00000192050.1,-,Gm37906
1,30940301,30949770,ENSMUST00000027232.12,-,Ptp4a1
1,30941579,30949757,ENSMUST00000076587.4,-,Ptp4a1
1,30946543,30949587,ENSMUST00000202889.1,-,Ptp4a1
1,31019187,31096454,ENSMUST00000188605.1,-,Gm29669
1,31041918,31043675,ENSMUST00000191364.1,+,Gm28644
1,31122724,31122862,ENSMUST00000184868.1,-,Gm27362
1,31136025,31150105,ENSMUST00000186448.1,+,Gm29128
1,31141163,31222657,ENSMUST00000127775.6,-,4931428L18Rik
1,31141716,31222628,ENSMUST00000187659.5,-,4931428L18Rik
1,31176400,31204725,ENSMUST00000062560.12,+,Lgsn
1,31202930,31222684,ENSMUST00000135245.2,-,4931428L18Rik
1,31222837,31224288,ENSMUST00000027230.2,+,Pih1d3
1,31259592,31259719,ENSMUST00000104476.1,-,Gm26145
1,31656631,31656738,ENSMUST00000157995.1,-,Gm23032
1,32172713,32658568,ENSMUST00000027226.10,+,Khdrbs2
1,32172728,32246878,ENSMUST00000189878.1,+,Khdrbs2
1,32172747,32338354,ENSMUST00000188257.5,+,Khdrbs2
1,32172886,32311090,ENSMUST00000185666.1,+,Khdrbs2
1,32213132,32213239,ENSMUST00000082754.1,-,Gm25814
1,32473756,32475565,ENSMUST00000195178.1,+,Gm37999
1,32485314,32486942,ENSMUST00000192993.1,+,Gm37110
1,32496443,32497988,ENSMUST00000193099.1,+,Gm37911
1,32519562,32520999,ENSMUST00000195252.1,-,Gm9839
1,32539027,32542440,ENSMUST00000195761.1,+,Gm37792
1,32543685,32547294,ENSMUST00000171322.2,-,Gm5415
1,32568358,32568421,ENSMUST00000158864.1,-,Gm24732
1,32710178,32712648,ENSMUST00000195241.1,+,Gm37426
1,32726638,32726930,ENSMUST00000158770.1,+,Gm23024
1,32967483,32972490,ENSMUST00000194631.1,-,Gm37151
1,33065129,33066350,ENSMUST00000195240.1,+,Gm37724
1,33191992,33192102,ENSMUST00000158125.1,+,Gm24901
1,33212773,33215475,ENSMUST00000193283.1,-,Gm37591
1,33293675,33293775,ENSMUST00000083289.1,+,Gm25792
1,33422732,33422838,ENSMUST00000083326.1,+,Gm23453
1,33453809,33669795,ENSMUST00000027312.10,-,Prim2
1,33613757,33616832,ENSMUST00000192891.1,-,Gm37618
1,33669823,33670712,ENSMUST00000191779.1,+,1700001G17Rik
1,33671914,33674228,ENSMUST00000193126.1,-,Gm38173
1,33719894,33742564,ENSMUST00000088287.8,+,Rab23
1,33720406,33742561,ENSMUST00000115174.3,+,Rab23
1,33745483,33757795,ENSMUST00000044691.8,-,Bag2
1,33746801,33757741,ENSMUST00000187602.1,-,Bag2
1,33748006,33748347,ENSMUST00000195310.1,+,Gm37905
1,33761544,33814527,ENSMUST00000019861.11,-,Zfp451
1,33792135,33814570,ENSMUST00000044455.7,-,Zfp451
1,33852051,33907768,ENSMUST00000115161.6,-,Bend6
1,33852051,33907791,ENSMUST00000129464.6,-,Bend6
1,33852051,33907816,ENSMUST00000062289.10,-,Bend6
1,33889489,33891117,ENSMUST00000195730.1,-,Gm37067
1,33908271,34307592,ENSMUST00000183034.3,+,Dst
1,33922454,33924838,ENSMUST00000193333.1,+,Gm37354
1,33981409,33981502,ENSMUST00000122557.1,-,Gm23792
1,34005881,34137135,ENSMUST00000182697.6,+,Dst
1,34006125,34137136,ENSMUST00000182314.6,+,Dst
1,34011812,34308652,ENSMUST00000097786.8,+,Dst
1,34011824,34308650,ENSMUST00000115104.8,+,Dst
1,34011824,34308661,ENSMUST00000097785.8,+,Dst
1,34032099,34033797,ENSMUST00000194178.1,+,Gm38157
1,34117358,34117431,ENSMUST00000198033.1,+,mmu-mir-6896
1,34160329,34183904,ENSMUST00000183302.4,+,Dst
1,34160329,34308404,ENSMUST00000185269.5,+,Dst
1,34165855,34178271,ENSMUST00000181692.2,-,Gm26788
